id,Percent_Spor,Percent_Lesion
HL2017014_001,6.089125832,1.751830013
HL2017014_002,1.049661729,1.319210909
HL2017014_003,-16.32887398,-3.689257066
HL2017014_005,2.170781053,0.564239007
HL2017014_006,-10.67059748,0.624695531
HL2017014_007,-21.88326192,4.185783626
HL2017014_008,-9.785760714,-2.088901774
HL2017014_009,12.50874787,4.439512808
HL2017014_011,9.394610036,2.920457104
HL2017014_012,-7.960278566,0.727806514
HL2017014_013,10.78220998,1.054837428
HL2017014_014,27.95205122,5.020219654
HL2017014_015,-1.235907166,0.412795841
HL2017014_016,-2.855949384,0.317637312
HL2017014_017,-5.827303827,-2.597302257
HL2017014_018,-5.544358198,-3.987802288
HL2017014_020,-1.747358803,3.049012777
HL2017014_021,8.858322027,2.668308153
HL2017014_022,12.49547563,3.410544683
HL2017014_023,-10.80161892,-1.255491668
HL2017014_024,27.36439492,6.289806639
HL2017014_025,3.039215916,-2.399716928
HL2017014_026,-4.206809268,-3.274739539
HL2017014_027,-2.20387881,-4.189869603
HL2017014_028,7.166430043,3.38789353
HL2017014_029,-1.94895367,-3.141949706
HL2017014_030,-12.24592552,-1.173498854
HL2017014_031,-11.71647833,-1.903768859
HL2017014_033,-10.15854845,1.695110883
HL2017014_034,-6.464932629,0.941359813
HL2017014_035,6.782804233,0.199913565
HL2017014_036,2.745506435,2.643502889
HL2017014_037,-1.202165367,-3.205604881
HL2017014_038,-14.80638782,-4.749878703
HL2017014_039,3.259669546,2.416851767
HL2017014_040,-0.973698043,0.365067375
HL2017014_041,12.78136544,1.583500918
HL2017014_042,7.540052379,1.773817976
HL2017014_043,4.086220165,-0.62293474
HL2017014_044,-5.142160339,-1.348413018
HL2017014_045,-7.301479974,-4.948597846
HL2017014_046,-7.101560699,-1.303856886
HL2017014_047,-0.943787934,1.602504901
HL2017014_048,17.65290225,2.630985938
HL2017014_050,-4.394238642,0.903111614
HL2017014_051,-3.237909408,-3.921882839
HL2017014_052,-6.317187174,-0.541442821
HL2017014_053,-11.31922672,-2.516305009
HL2017014_056,9.682857711,5.055654739
HL2017014_059,-15.69768757,-7.195735406
HL2017014_060,-24.84335702,-12.84917123
HL2017014_061,-7.216473461,-6.35753185
HL2017014_062,6.038714676,0.360450253
HL2017014_066,7.071051908,2.879219907
HL2017014_067,24.70074108,5.176567785
HL2017014_069,-15.56184823,-4.635372544
HL2017014_070,3.378444457,1.243900042
HL2017014_071,7.77964152,4.556656598
HL2017014_074,-6.929176232,-2.82291259
HL2017014_075,-1.717022116,2.484496072
HL2017014_077,5.247793359,4.056365673
HL2017014_078,5.691786437,0.566316844
HL2017014_079,9.682857711,2.335111199
HL2017014_083,11.74803841,5.439677922
HL2017014_084,8.047980185,0.844982167
HL2017014_085,-0.642001855,-0.869476142
HL2017014_086,-4.31064186,-2.002291817
HL2017014_087,-32.09249673,-7.580150206
HL2017014_088,-9.31634843,1.252245574
HL2017014_090,4.791576189,1.511264788
HL2017014_091,-2.264472762,-0.295441418
HL2017014_092,-8.37103257,-7.409075806
HL2017014_093,0.884324047,-1.154005659
HL2017014_095,20.34459643,1.471086854
HL2017014_096,8.204268037,5.994976458
HL2017014_097,16.64453821,3.466152116
HL2017014_100,-12.72606652,-4.154296613
HL2017014_101,3.493357333,0.33965432
HL2017014_102,10.89347377,2.999741336
HL2017014_103,-0.795784195,-0.432792587
HL2017014_104,-4.456972952,-1.71846959
HL2017014_105,-0.809631467,-2.436869823
HL2017014_106,-10.97049211,-5.277058921
HL2017014_107,11.37879561,3.729695534
HL2017014_108,3.970758057,2.622047859
HL2017014_110,11.07006878,1.525366645
HL2017014_113,9.216138049,3.194598799
HL2017014_114,-3.442237465,-4.546276986
HL2017014_115,-14.29553404,-3.72654758
HL2017014_116,2.237475304,0.150669366
HL2017014_117,11.37879561,1.915999841
HL2017014_118,-14.84808766,-0.018608899
HL2017014_119,-22.17869017,-0.64034815
HL2017014_120,-4.536430312,-1.578304688
HL2017014_121,-11.80454706,-10.53716494
HL2017014_122,-14.80114062,-1.16601535
HL2017014_123,0.538402427,1.350173808
HL2017014_124,18.82689019,3.89585659
HL2017014_125,-8.63348687,-3.193230072
HL2017014_126,13.77295093,5.059739042
HL2017014_127,5.06693159,2.629386813
HL2017014_128,7.952982769,1.370523165
HL2017014_129,0.11124652,-2.019175727
HL2017014_130,-23.72148143,-4.558349697
HL2017014_131,-19.52304726,-3.024619795
HL2017014_132,-4.578129152,0.612134401
HL2017014_133,12.2827246,1.328917856
HL2017014_134,3.760948072,1.973872855
HL2017014_135,17.80791229,2.681843869
HL2017014_136,-21.21850087,-1.051871357
HL2017014_137,1.319344389,-0.844136339
HL2017014_138,-7.980535419,0.663896102
HL2017014_139,14.32550455,1.835452545
HL2017014_141,0.945419673,-0.795531725
HL2017014_142,15.09660272,1.283540552
HL2017014_144,4.788433997,-0.638382643
HL2017014_145,4.744544927,1.386534237
HL2017014_146,13.98244954,3.120348087
HL2017014_147,7.932678739,1.332906762
HL2017014_148,17.70959658,3.636194284
HL2017014_149,6.188077635,1.257957355
HL2017014_150,21.35357784,3.743164228
HL2017014_151,6.703836008,-0.424989301
HL2017014_152,14.91122332,3.366996498
HL2017014_154,-21.43615135,-1.11232788
HL2017014_155,14.47617844,0.64091129
HL2017014_156,13.29401676,3.619372006
HL2017014_157,5.672354061,2.299602862
HL2017014_158,15.03132485,2.904168093
HL2017014_159,16.36327898,3.239958589
HL2017014_160,17.66918188,4.207262959
HL2017014_161,-7.709232412,0.462459778
HL2017014_162,17.96333498,3.694916735
HL2017014_163,5.996337894,0.097828227
HL2017014_164,13.61660372,2.011152922
HL2017014_165,-2.924833033,-0.286194956
HL2017014_166,-33.44877659,-4.089286718
HL2017014_167,1.221639084,0.896850045
HL2017014_168,-5.103836768,1.971980443
HL2017014_169,8.468559281,0.543160136
HL2017014_170,3.306660057,-1.312431189
HL2017014_171,17.06316165,4.83903139
HL2017014_173,-14.90130186,-6.839983892
HL2017014_174,5.653679564,0.782285175
HL2017014_175,7.628716521,2.213806536
HL2017014_177,11.65525047,2.576545674
HL2017014_178,6.651788244,2.736631199
HL2017014_179,11.54892412,2.736631199
HL2017014_180,8.787472227,0.164241998
HL2017014_181,12.67654664,2.818065472
HL2017014_182,-1.637530937,-2.537120012
HL2017014_184,-6.516073019,-1.44870157
HL2017014_185,17.42298828,3.846132659
HL2017014_186,21.94045865,4.62066194
HL2017014_187,9.043444665,-0.264910911
HL2017014_188,5.669862169,-0.023084819
HL2017014_190,13.39645434,1.790610874
HL2017014_191,3.493357333,0.944219551
HL2017014_192,8.719460831,0.244081077
HL2017014_193,11.87290095,1.306958689
HL2017014_194,3.690390278,-0.677068519
HL2017014_196,-8.437082499,-1.580266382
HL2017014_197,10.87285624,0.894801081
HL2017014_198,-6.730848406,-1.49169099
HL2017014_199,16.01075904,1.769326829
HL2017014_200,12.6691959,1.458353342
HL2017014_201,8.978970489,1.494796935
HL2017014_203,3.557375939,-0.315716341
HL2017014_204,6.164639839,1.584083102
HL2017014_205,20.43095698,5.044308687
HL2017014_206,3.018918294,2.626047763
HL2017014_207,15.34874286,3.978534845
HL2017014_208,13.90196985,4.462413311
HL2017014_209,24.98756542,6.192531541
HL2017014_210,-12.66596823,1.1141836
HL2017014_212,-10.14840858,1.076848018
HL2017014_213,9.647047576,2.672300517
HL2017014_214,-29.73747948,-0.396778392
HL2017014_215,-27.44029853,-1.707908403
HL2017014_216,-20.14667852,-11.49513617
HL2017014_217,4.450795553,2.631331072
HL2017014_218,8.060824156,-0.105127219
HL2017014_219,1.604190151,-0.275865346
HL2017014_220,11.36429546,3.17281413
HL2017014_222,-9.354031386,1.74240657
HL2017014_223,13.89952506,3.339062338
HL2017014_225,0.463488251,-0.413304381
HL2017014_227,3.432296344,-0.93510948
HL2017014_228,8.982383676,1.422694921
HL2017014_229,7.132354565,-2.506979081
HL2017014_230,-11.47408582,1.1800724
HL2017014_231,-6.610152465,-2.650195736
HL2017014_232,-10.97260753,-0.533052751
HL2017014_233,14.53619689,2.60917664
HL2017014_234,-5.13718767,1.453466096
HL2017014_235,-8.786657301,-4.342978382
HL2017014_236,1.584443236,-0.08164893
HL2017014_237,-9.033010726,-1.208871568
HL2017014_238,-16.1064366,-1.916767012
HL2017014_239,-9.659716733,0.621913441
HL2017014_240,-15.71877021,1.453946756
HL2017014_241,-23.34502327,-3.89807722
HL2017014_242,-12.66231874,-1.437606545
HL2017014_243,-0.320588278,-1.159511695
HL2017014_244,3.184269758,0.368793619
HL2017014_245,-18.81901057,-7.867744785
HL2017014_246,11.30066157,2.289875219
HL2017014_247,-22.84772921,-7.79868195
HL2017014_248,15.7714958,3.495189498
HL2017014_249,-8.808957137,-2.126816064
HL2017014_250,-18.49440366,-3.698685665
HL2017014_251,13.19604154,4.544130513
HL2017014_252,4.576547602,1.137836183
HL2017014_253,7.514829131,1.500575322
HL2017014_254,-0.211763036,-1.522250833
HL2017014_256,4.783905345,4.271220733
HL2017014_257,-12.55330175,0.616778732
HL2017014_258,-0.503827901,-1.952547232
HL2017014_259,-11.2894874,-5.132749983
HL2017014_260,5.707238045,0.092883399
HL2017014_261,4.657084091,0.848900866
HL2017014_262,-26.14624651,-11.1580395
HL2017014_265,1.762891741,1.884747963
HL2017014_266,-4.581699515,-3.232951669
HL2017014_267,-19.23373005,-10.39246749
HL2017014_268,9.278483298,3.149793681
HL2017014_273,18.91319077,6.531814037
HL2017014_274,6.317751471,2.407423168
HL2017014_275,-5.213427138,0.055928999
HL2017014_276,-3.871028907,-2.373838877
HL2017014_277,7.28025184,3.598635441
HL2017014_278,10.61868137,3.617119383
HL2017014_279,4.858736938,-4.461569208
HL2017014_281,-9.065819053,-1.954628433
HL2017014_282,16.82951353,2.309561379
HL2017014_283,-31.59771906,-4.09883007
HL2017014_284,-10.90475517,-2.75373276
HL2017014_285,10.78362832,0.803072129
HL2017014_286,3.295125549,-0.100739873
HL2017014_287,3.083928838,2.133281913
HL2017014_288,-13.31507844,-3.857003977
HL2017014_289,1.553897164,-0.56905512
HL2017014_291,-5.545703563,-0.857987003
HL2017014_292,-9.348786325,-0.064984047
HL2017014_293,-8.744418286,-2.647873515
HL2017014_294,3.744774978,-2.913668473
HL2017014_295,12.30163609,3.49488266
HL2017014_296,-4.970370027,-0.290070243
HL2017014_297,6.347455119,1.644538497
HL2017014_298,3.9532998,0.435408035
HL2017014_299,-7.03804962,-2.224678982
HL2017014_300,4.84038925,0.933679785
HL2017014_301,-9.300256945,-0.93510948
HL2017014_302,-2.863463789,-0.553705633
HL2017014_303,-5.440333692,2.96896004
HL2017014_304,-2.14091374,0.435408035
HL2017014_305,-8.670428247,-1.257374612
HL2017014_306,2.865047382,-1.136461566
HL2017014_307,2.511732924,-0.621138311
HL2017014_308,-19.36403596,-1.537097702
HL2017014_309,11.03084213,1.789002035
HL2017014_310,-30.76195233,-5.199139918
HL2017014_311,-18.94526001,-4.909025136
HL2017014_312,-17.55487143,-2.24648828
HL2017014_313,5.516079829,1.018163968
HL2017014_314,-7.885341608,-0.489828399
HL2017014_315,-6.236189688,-0.342297945